Domain,Score,DMARC,Age,Spamhaus,Talos,VT Clean,Abuse Score
msnbc.com,82,none,30.5,True,unknown,True,
continental.com,74,none,28.5,True,unknown,,
longisland.com,74,none,29.7,True,unknown,,
ubc.ca,74,none,25.7,True,unknown,,
square-enix.com,74,none,23.6,True,unknown,,
wildapricot.org,74,none,20.2,True,unknown,,
pantheonsite.io,74,none,10.4,True,unknown,,
linux.com,74,none,32,True,unknown,,
daad.de,74,none,,True,unknown,,
rtl.de,74,none,,True,unknown,,
ecfr.gov,74,none,14.4,True,unknown,,
hetzner.de,74,none,,True,unknown,,
cpan.org,74,none,28.4,True,unknown,,
canada.com,74,none,29.7,True,unknown,,
ctan.org,74,none,28.3,True,unknown,,
ilsole24ore.com,72,none,27.4,True,unknown,,
webd.pl,72,none,24.3,True,unknown,,
zrzutka.pl,72,none,17.9,True,unknown,,
uw.edu.pl,72,none,31.5,True,unknown,,
lodz.pl,72,none,31.5,True,unknown,,
jd.com,70,none,33.7,True,unknown,,
laracasts.com,70,none,13.3,True,unknown,,
eastmoney.com,70,none,23.8,True,unknown,,
swarthmore.edu,70,none,39,True,unknown,,
ameblo.jp,70,none,21.9,True,unknown,,
cert.org,70,none,34.5,True,unknown,,
eurekalert.org,70,none,30.4,True,unknown,,
wordstream.com,70,none,23,True,unknown,,
computer.org,70,none,32.9,True,unknown,,
estadao.com.br,70,none,28.9,True,unknown,,
tenor.com,70,none,30.9,True,unknown,,
premiumtimesng.com,70,none,14.8,True,unknown,,
readwrite.com,70,none,25.2,True,unknown,,
tv-tokyo.co.jp,70,none,31.1,True,unknown,,
nd.gov,70,none,25.6,True,unknown,,
gotomeeting.com,70,none,23,True,unknown,,
liebertpub.com,70,none,29.4,True,unknown,,
speakerdeck.com,70,none,16.1,True,unknown,,
mbs.jp,70,none,25.2,True,unknown,,
gouv.fr,70,none,31.5,True,unknown,,
trenitalia.com,70,none,26.3,True,unknown,,
fivethirtyeight.com,70,none,18.3,True,unknown,,
easyspace.com,70,none,28.9,True,unknown,,
lycos.com,70,none,31.2,True,unknown,,
wbur.org,70,none,30.2,True,unknown,,
gandi.net,70,none,27.1,True,unknown,,
imo.org,70,none,30.9,True,unknown,,
militarytimes.com,70,none,25,True,unknown,,
ecowatch.com,70,none,27.5,True,unknown,,
maryville.edu,70,none,32,True,unknown,,
lg.com,70,none,31,True,unknown,,
webmin.com,70,none,28.8,True,unknown,,
tass.ru,70,none,17.2,True,unknown,,
swoogo.com,70,none,13.3,True,unknown,,
newrepublic.com,70,none,23.5,True,unknown,,
fairmont.com,70,none,30.8,True,unknown,,
allaboutcookies.org,70,none,18,True,unknown,,
urbandictionary.com,70,none,24.7,True,unknown,,
thoughtco.com,70,none,13.4,True,unknown,,
tabelog.com,70,none,21.4,True,unknown,,
tistory.com,70,none,20.7,True,unknown,,
online.fr,70,none,17.5,True,unknown,,
mhlw.go.jp,70,none,25.6,True,unknown,,
france.tv,70,none,16.1,True,unknown,,
stltoday.com,70,none,25.9,True,unknown,,
qodeinteractive.com,70,none,15,True,unknown,,
umass.edu,70,none,40.2,True,unknown,,
toasttab.com,70,none,14.1,True,unknown,,
asp.net,70,none,30.5,True,unknown,,
tldp.org,70,none,24.3,True,unknown,,
pastebin.com,70,none,23.8,True,unknown,,
amnesty.org,70,none,33.6,True,unknown,,
mysql.com,70,none,27.4,True,unknown,,
loc.gov,70,none,28.7,True,unknown,,
hellomagazine.com,70,none,28.7,True,unknown,,
unctad.org,70,none,31.3,True,unknown,,
openldap.org,70,none,27.8,True,unknown,,
uwm.edu,70,none,37,True,unknown,,
discovermagazine.com,70,none,29,True,unknown,,
bluehost.com,70,none,23.6,True,unknown,,
osmfoundation.org,70,none,18.8,True,unknown,,
brown.edu,70,none,39.8,True,unknown,,
dailykos.com,70,none,24,True,unknown,,
hetzner.com,70,none,29.4,True,unknown,,
networkrail.co.uk,70,none,24.4,True,unknown,,
kia.com,70,none,29.5,True,unknown,,
scholastic.com,70,none,32.7,True,unknown,,
futura-sciences.com,70,none,25.5,True,unknown,,
jreast.co.jp,70,none,30.8,True,unknown,,
apkpure.com,70,none,11.6,True,unknown,,
jamsadr.com,70,none,26.8,True,unknown,,
cityu.edu.hk,70,none,31.9,True,unknown,,
joins.com,70,none,26.5,True,unknown,,
qiita.com,70,none,14.9,True,unknown,,
freedomhouse.org,70,none,30.1,True,unknown,,
jsfiddle.net,70,none,16.6,True,unknown,,
contently.com,70,none,16.1,True,unknown,,
elegantthemes.com,70,none,17.7,True,unknown,,
gnupg.org,70,none,27.5,True,unknown,,
handelsblatt.com,70,none,30.2,True,unknown,,
graphene-theme.com,70,none,14.3,True,unknown,,
dreamhost.com,70,none,28.7,True,unknown,,
material.io,70,none,12.7,True,unknown,,
ithaca.edu,70,none,36,True,unknown,,
grammy.com,70,none,31.3,True,unknown,,
etymonline.com,70,none,23.4,True,unknown,,
festival-cannes.com,70,none,27.1,True,unknown,,
meti.go.jp,70,none,25.7,True,unknown,,
emojipedia.org,70,none,12.9,True,unknown,,
outdooractive.com,70,none,22.6,True,unknown,,
le.ac.uk,70,none,29.9,True,unknown,,
dur.ac.uk,70,none,29.9,True,unknown,,
poemhunter.com,70,none,23.5,True,unknown,,
heavy.com,70,none,27.7,True,unknown,,
ucar.edu,70,none,39.7,True,unknown,,
metrika.yandex.ru,70,none,28.7,True,unknown,,
smzdm.com,70,none,16,True,unknown,,
niemanlab.org,70,none,17.9,True,unknown,,
jci.org,70,none,30.2,True,unknown,,
larepublica.co,70,none,16.3,True,unknown,,
spokesman.com,70,none,31.4,True,unknown,,
wvu.edu,70,none,34.1,True,unknown,,
macrotrends.net,70,none,13.2,True,unknown,,
thecrimson.com,70,none,29,True,unknown,,
queensu.ca,70,none,25.7,True,unknown,,
studiopress.com,70,none,24.2,True,unknown,,
msu.edu,70,none,39.1,True,unknown,,
thimpress.com,70,none,11.8,True,unknown,,
xinnet.com,70,none,26.5,True,unknown,,
nbcsports.com,70,none,30.3,True,unknown,,
cato.org,70,none,31.3,True,unknown,,
sxsw.com,70,none,30.9,True,unknown,,
thenounproject.com,70,none,17,True,unknown,,
prtimes.jp,70,none,19.4,True,unknown,,
statnews.com,70,none,23,True,unknown,,
dailymotion.com,70,none,21.3,True,unknown,,
paramount.com,70,none,32.6,True,unknown,,
concordia.ca,70,none,25.7,True,unknown,,
explore.org,70,none,24.1,True,unknown,,
webofscience.com,70,none,29.2,True,unknown,,
reviewjournal.com,70,none,27.4,True,unknown,,
toronto.ca,70,none,24.2,True,unknown,,
taylorandfrancis.com,70,none,28.4,True,unknown,,
canada.ca,70,none,23.6,True,unknown,,
secureserver.net,70,none,28.2,True,unknown,,
videolan.org,70,none,26.4,True,unknown,,
alberta.ca,70,none,22.2,True,unknown,,
alistapart.com,70,none,28.1,True,unknown,,
telegram.com,70,none,30.9,True,unknown,,
rs.gov.br,70,none,29.8,True,unknown,,
photobucket.com,70,none,23.1,True,unknown,,
ntv.ru,70,none,29.4,True,unknown,,
cbpp.org,70,none,30.9,True,unknown,,
yenisafak.com,70,none,28.2,True,unknown,,
disney.com,70,none,36.2,True,unknown,,
techtimes.com,70,none,26.5,True,unknown,,
nginx.com,70,none,21.5,True,unknown,,
accor.com,70,none,28.3,True,unknown,,
alamy.com,70,none,26.7,True,unknown,,
coachingfederation.org,70,none,22.5,True,unknown,,
azure.com,70,none,31.6,True,unknown,,
helsinki.fi,70,none,35.5,True,unknown,,
tucson.com,70,none,31.5,True,unknown,,
khan.co.kr,70,none,30.1,True,unknown,,
fbcdn.net,70,none,19.1,True,unknown,,
afdb.org,70,none,32.1,True,unknown,,
tufts.edu,70,none,39,True,unknown,,
ticketweb.com,70,none,31.2,True,unknown,,
fc2.com,70,none,27.1,True,unknown,,
deadline.com,70,none,30.8,True,unknown,,
camcom.it,70,none,30.4,True,unknown,,
detroitnews.com,70,none,28.7,True,unknown,,
unina.it,70,none,30.4,True,unknown,,
bancaditalia.it,70,none,28.3,True,unknown,,
gohawaii.com,70,none,29.5,True,unknown,,
weworkremotely.com,70,none,12.7,True,unknown,,
9news.com,70,none,30.6,True,unknown,,
mapion.co.jp,70,none,29.6,True,unknown,,
gameforge.com,70,none,28.8,True,unknown,,
sherdog.com,70,none,26.8,True,unknown,,
afb.org,70,none,32.2,True,unknown,,
wpfr.net,70,none,16.4,True,unknown,,
bit.ly,70,none,18.1,True,unknown,,
972mag.com,70,none,15.8,True,unknown,,
transfermarkt.com,70,none,25.5,True,unknown,,
uwaterloo.ca,70,none,25.7,True,unknown,,
xtgem.com,70,none,19.6,True,unknown,,
inrs.fr,70,none,31.5,True,unknown,,
wsws.org,70,none,28.4,True,unknown,,
biblehub.com,70,none,22.1,True,unknown,,
home-assistant.io,70,none,11.5,True,unknown,,
unam.mx,70,none,37.2,True,unknown,,
punchng.com,70,none,23.2,True,unknown,,
tcu.edu,70,none,36,True,unknown,,
mentalhealth.com,70,none,31,True,unknown,,
mentalhealth.org.uk,70,none,29.9,True,unknown,,
umsl.edu,70,none,36.7,True,unknown,,
bitly.com,70,none,22.6,True,unknown,,
awwwards.com,70,none,15.7,True,unknown,,
ntv.co.jp,70,none,13.7,True,unknown,,
ala.org,70,none,32.4,True,unknown,,
fontspace.com,70,none,20.7,True,unknown,,
macstories.net,70,none,17.1,True,unknown,,
dothome.co.kr,70,none,22.3,True,unknown,,
gxzf.gov.cn,70,none,28.2,True,unknown,,
capcut.com,70,none,29.2,True,unknown,,
postgresql.org,70,none,29.7,True,unknown,,
xkcd.com,70,none,23.4,True,unknown,,
electrek.co,70,none,12.7,True,unknown,,
cbc.ca,70,none,25.7,True,unknown,,
afternic.com,70,none,27.3,True,unknown,,
skool.com,70,none,29.3,True,unknown,,
lansingstatejournal.com,70,none,27.9,True,unknown,,
maxim.com,70,none,28.5,True,unknown,,
cntd.ru,70,none,21,True,unknown,,
riseup.net,70,none,26.2,True,unknown,,
premierinn.com,70,none,22.1,True,unknown,,
psu.edu,70,none,39.9,True,unknown,,
vestacp.com,70,none,15.9,True,unknown,,
kyivpost.com,70,none,26.5,True,unknown,,
venturebeat.com,70,none,21.3,True,unknown,,
sina.com,70,none,27.8,True,unknown,,
hwg.org,70,none,30.5,True,unknown,,
ens.fr,70,none,31.5,True,unknown,,
scene7.com,70,none,26,True,unknown,,
grigorik.com,70,none,22.3,True,unknown,,
apache.org,70,none,31.2,True,unknown,,
foodnavigator.com,70,none,26.9,True,unknown,,
exprealty.com,70,none,16.9,True,unknown,,
roll20.net,70,none,14.2,True,unknown,,
wish.org,70,none,31.5,True,unknown,,
travelandleisure.com,70,none,28.8,True,unknown,,
archive.org,70,none,30.5,True,unknown,,
sudouest.fr,70,none,17.4,True,unknown,,
tv5monde.com,70,none,25.1,True,unknown,,
gob.cl,70,none,29.5,True,unknown,,
artron.net,70,none,27.2,True,unknown,,
christianlouboutin.com,70,none,19.6,True,unknown,,
brennancenter.org,70,none,28,True,unknown,,
betanews.com,70,none,28,True,unknown,,
carleton.ca,70,none,25.7,True,unknown,,
mainichi.co.jp,70,none,31.1,True,unknown,,
jamesclear.com,70,none,16.8,True,unknown,,
caltech.edu,70,none,40.4,True,unknown,,
ic.ac.uk,70,none,29.9,True,unknown,,
ladbible.com,70,none,14.9,True,unknown,,
ohmynews.com,70,none,26.8,True,unknown,,
crunchyroll.com,70,none,20.1,True,unknown,,
abcnews.com,70,none,31.2,True,unknown,,
upenn.edu,70,none,40,True,unknown,,
stv.tv,70,none,20.7,True,unknown,,
gumroad.com,70,none,16.9,True,unknown,,
themoscowtimes.com,70,none,26.4,True,unknown,,
umt.edu,70,none,35.7,True,unknown,,
guardian.ng,70,none,11.4,True,unknown,,
diabetes.org,70,none,31.3,True,unknown,,
betcity.ru,70,none,23.8,True,unknown,,
chartbeat.com,70,none,21.9,True,unknown,,
dietdoctor.com,70,none,28,True,unknown,,
denik.cz,70,none,28,True,unknown,,
illinois.edu,70,none,29.4,True,unknown,,
trybooking.com,70,none,18.9,True,unknown,,
eff.org,70,none,35.7,True,unknown,,
middleeastmonitor.com,70,none,21.5,True,unknown,,
denofgeek.com,70,none,19.2,True,unknown,,
coachella.com,70,none,29.3,True,unknown,,
pair.com,70,none,30.8,True,unknown,,
aaa.com,70,none,35.9,True,unknown,,
uefa.com,70,none,29.1,True,unknown,,
alchetron.com,70,none,12.9,True,unknown,,
directupload.net,70,none,21.8,True,unknown,,
panoramio.com,70,none,20.9,True,unknown,,
wellesley.edu,70,none,39.9,True,unknown,,
gratisafhalen.be,70,none,14.4,True,unknown,,
fontsquirrel.com,70,none,17.4,True,unknown,,
launchpad.net,70,none,22.4,True,unknown,,
democracynow.org,70,none,26.8,True,unknown,,
shaw.ca,70,none,25.6,True,unknown,,
mit.edu,70,none,41.1,True,unknown,,
wickedlocal.com,70,none,21,True,unknown,,
fordham.edu,70,none,35,True,unknown,,
dailyherald.com,70,none,31.3,True,unknown,,
museothyssen.org,70,none,27.7,True,unknown,,
huffingtonpost.fr,70,none,15.2,True,unknown,,
vermont.gov,70,none,24.9,True,unknown,,
forbes.ru,70,none,24.1,True,unknown,,
kohler.com,70,none,31.6,True,unknown,,
genengnews.com,70,none,30.1,True,unknown,,
urbanoutfitters.com,70,none,30.1,True,unknown,,
syfy.com,70,none,27,True,unknown,,
tripit.com,70,none,27.3,True,unknown,,
ovhcloud.com,70,none,14.6,True,unknown,,
wright.edu,70,none,40.3,True,unknown,,
theoceancleanup.com,70,none,13.5,True,unknown,,
piwigo.org,70,none,19.4,True,unknown,,
hmv.co.jp,70,none,30.5,True,unknown,,
wcnc.com,70,none,30.9,True,unknown,,
kumu.io,70,none,13.8,True,unknown,,
milenio.com,70,none,26.3,True,unknown,,
itu.edu.tr,70,none,23.5,True,unknown,,
shochiku.co.jp,70,none,30.4,True,unknown,,
pge.com,70,none,35.3,True,unknown,,
naplesnews.com,70,none,28.7,True,unknown,,
smithsonianmag.com,70,none,28.9,True,unknown,,
libreoffice.org,70,none,15.8,True,unknown,,
err.ee,70,none,16,True,unknown,,
smotrim.ru,70,none,20.2,True,unknown,,
omniglot.com,70,none,26.3,True,unknown,,
podia.com,70,none,27.5,True,unknown,,
zipcar.com,70,none,26.6,True,unknown,,
pocketcasts.com,70,none,15.5,True,unknown,,
gnu.org,70,none,30.6,True,unknown,,
gramota.ru,70,none,25.9,True,unknown,,
weebly.com,70,none,20.2,True,unknown,,
guinnessworldrecords.com,70,none,27.3,True,unknown,,
swaay.com,70,none,20.4,True,unknown,,
wlv.ac.uk,70,none,29.9,True,unknown,,
ichotelsgroup.com,70,none,23.5,True,unknown,,
businesstimes.com.sg,70,none,29.1,True,unknown,,
rememberthemilk.com,70,none,21.8,True,unknown,,
trustedreviews.com,70,none,23,True,unknown,,
chambermaster.com,70,none,25.5,True,unknown,,
mensjournal.com,70,none,29.2,True,unknown,,
uel.ac.uk,70,none,29.9,True,unknown,,
konmari.com,70,none,17.2,True,unknown,,
wsvn.com,70,none,30.9,True,unknown,,
peraichi.com,70,none,13.1,True,unknown,,
jma.or.jp,70,none,30.8,True,unknown,,
about.com,70,none,27.3,True,unknown,,
uci.edu,70,none,40.7,True,unknown,,
cbs.com,70,none,32.5,True,unknown,,
ucl.ac.uk,70,none,29.9,True,unknown,,
ultimateclassicrock.com,70,none,18.5,True,unknown,,
univ-amu.fr,70,none,15.4,True,unknown,,
asu.edu,70,none,38.9,True,unknown,,
nasonline.org,70,none,22,True,unknown,,
gamingtoday.com,70,none,28.3,True,unknown,,
yupoo.com,70,none,21.3,True,unknown,,
planning.org,70,none,30.6,True,unknown,,
midi.org,70,none,29.8,True,unknown,,
vancouverisawesome.com,70,none,18.4,True,unknown,,
jpost.com,70,none,29.7,True,unknown,,
telus.net,70,none,30.1,True,unknown,,
unifi.it,70,none,30.4,True,unknown,,
boutell.com,70,none,31.1,True,unknown,,
lancaster.ac.uk,70,none,29.9,True,unknown,,
flsenate.gov,70,none,23.6,True,unknown,,
mg.co.za,70,none,31.5,True,unknown,,
childwelfare.gov,70,none,20.1,True,unknown,,
sciencesconf.org,70,none,17.4,True,unknown,,
sony.com,70,none,37,True,unknown,,
noip.com,70,none,26.4,True,unknown,,
stanforddaily.com,70,none,25.8,True,unknown,,
home.ne.jp,70,none,24.2,True,unknown,,
scirp.org,70,none,18.2,True,unknown,,
retailtouchpoints.com,70,none,19.2,True,unknown,,
lookbook.nu,70,none,18.5,True,unknown,,
warthunder.com,70,none,14.5,True,unknown,,
nea.org,70,none,32,True,unknown,,
influence.co,70,none,10.7,True,unknown,,
last.fm,70,none,24.2,True,unknown,,
wpzoom.com,70,none,18.2,True,unknown,,
goldapple.ru,70,none,25.3,True,unknown,,
carbonmade.com,70,none,23.6,True,unknown,,
northwestern.edu,70,none,27.3,True,unknown,,
lancs.ac.uk,70,none,29.9,True,unknown,,
expireddomains.com,70,none,26.6,True,unknown,,
bloglovin.com,70,none,17.7,True,unknown,,
techadvisor.com,70,none,26.1,True,unknown,,
poynter.org,70,none,31.7,True,unknown,,
haskell.org,70,none,29.5,True,unknown,,
ovh.com,70,none,29.4,True,unknown,,
metooo.it,70,none,14.4,True,unknown,,
ucsb.edu,70,none,39.1,True,unknown,,
publishersweekly.com,70,none,30.2,True,unknown,,
ntnu.no,70,none,26.6,True,unknown,,
childmind.org,70,none,16.2,True,unknown,,
fundable.com,70,none,21.9,True,unknown,,
codinghorror.com,70,none,22.4,True,unknown,,
uwo.ca,70,none,25.7,True,unknown,,
motherjones.com,70,none,31,True,unknown,,
hku.hk,70,none,36.5,True,unknown,,
spandidos-publications.com,70,none,18.9,True,unknown,,
tribune.com.pk,70,none,16.3,True,unknown,,
fastmail.com,70,none,31.5,True,unknown,,
opendns.com,70,none,22.8,True,unknown,,
neurology.org,70,none,30,True,unknown,,
albany.edu,70,none,39.3,True,unknown,,
jns.org,70,none,26.3,True,unknown,,
indianexpress.com,70,none,24.1,True,unknown,,
dxomark.com,70,none,18.1,True,unknown,,
chrome.com,70,none,32.3,True,unknown,,
idf.org,70,none,30.1,True,unknown,,
jrj.com.cn,70,none,26.9,True,unknown,,
cis.org,70,none,31.1,True,unknown,,
iana.org,70,none,31,True,unknown,,
deseret.com,70,none,32.8,True,unknown,,
bell-labs.com,70,none,30.4,True,unknown,,
ietf.org,70,none,31.3,True,unknown,,
king5.com,70,none,30.9,True,unknown,,
uio.no,70,none,26.6,True,unknown,,
westjet.com,70,none,30.8,True,unknown,,
hostgator.com,70,none,23.7,True,unknown,,
alaska.gov,70,none,26.4,True,unknown,,
halfords.com,70,none,28.9,True,unknown,,
domaintools.com,70,none,27.9,True,unknown,,
eluniverso.com,70,none,29.9,True,unknown,,
udn.com,70,none,27.8,True,unknown,,
eji.org,70,none,28.2,True,unknown,,
fsf.org,70,none,35.4,True,unknown,,
foursquare.com,70,none,24.2,True,unknown,,
boston.com,70,none,31,True,unknown,,
nikkeibp.co.jp,70,none,31.4,True,unknown,,
dish.com,70,none,30.9,True,unknown,,
nwsource.com,70,none,30.6,True,unknown,,
feedbackcompany.com,70,none,13,True,unknown,,
poder360.com.br,70,none,10.9,True,unknown,,
ucla.edu,70,none,41.2,True,unknown,,
nicovideo.jp,70,none,19.5,True,unknown,,
acog.org,70,none,29.1,True,unknown,,
cmu.edu,70,none,41.2,True,unknown,,
yandex.com,70,none,27.7,True,unknown,,
cduniverse.com,70,none,27.2,True,unknown,,
detnews.com,70,none,31.7,True,unknown,,
clarin.com,70,none,30.8,True,unknown,,
hackread.com,70,none,14.7,True,unknown,,
nlihc.org,70,none,30,True,unknown,,
stylemixthemes.com,70,none,12.5,True,unknown,,
pnas.org,70,none,30.2,True,unknown,,
educause.edu,70,none,28.3,True,unknown,,
globenewswire.com,70,none,18.8,True,unknown,,
sierraclub.org,70,none,32.6,True,unknown,,
utdallas.edu,70,none,37.6,True,unknown,,
radiofrance.fr,70,none,26.7,True,unknown,,
ning.com,70,none,22.5,True,unknown,,
vedomosti.ru,70,none,27,True,unknown,,
numbeo.com,70,none,17.1,True,unknown,,
simplybook.me,70,none,15.3,True,unknown,,
unioncars.co,70,none,11.5,True,unknown,,
carrefour.fr,70,none,21,True,unknown,,
cesweb.org,70,none,28.8,True,unknown,,
anchor.fm,70,none,11.4,True,unknown,,
campingworld.com,70,none,30.1,True,unknown,,
francetv.fr,70,none,30.4,True,unknown,,
prodesigns.com,70,none,24.5,True,unknown,,
rivals.com,70,none,27.6,True,unknown,,
oup.com,70,none,28.3,True,unknown,,
pixels.com,70,none,29.1,True,unknown,,
swp-berlin.org,70,none,25.9,True,unknown,,
nysed.gov,70,none,28.7,True,unknown,,
uproxx.com,70,none,19.6,True,unknown,,
volkswagen-group.com,70,none,29.5,True,unknown,,
googleusercontent.com,70,none,17.6,True,unknown,,
mitre.org,70,none,40.9,True,unknown,,
msstate.edu,70,none,37.7,True,unknown,,
fastcgi.com,70,none,27.8,True,unknown,,
arxiv.org,70,none,27.5,True,unknown,,
foxbaltimore.com,70,none,26.4,True,unknown,,
register.it,70,none,26.4,True,unknown,,
washingtoninstitute.org,70,none,29.9,True,unknown,,
cepal.org,70,none,28.8,True,unknown,,
utexas.edu,70,none,40.8,True,unknown,,
marriage.com,70,none,31.1,True,unknown,,
gameinformer.com,70,none,31.1,True,unknown,,
icann.org,70,none,27.8,True,unknown,,
today.com,70,none,28.2,True,unknown,,
gc.ca,70,none,25.7,True,unknown,,
amacad.org,70,none,31.7,True,unknown,,
speedrun.com,70,none,25.2,True,unknown,,
vanguardngr.com,70,none,26.5,True,unknown,,
ttu.edu,70,none,37.8,True,unknown,,
haproxy.com,70,none,19.1,True,unknown,,
unicode.org,70,none,33.9,True,unknown,,
americanaddictioncenters.org,70,none,12.3,True,unknown,,
parade.com,70,none,31.5,True,unknown,,
machinelearningmastery.com,70,none,12.6,True,unknown,,
ng.ru,70,none,11.7,True,unknown,,
thenation.com,70,none,31.3,True,unknown,,
spectator.com,70,none,30.1,True,unknown,,
webroot.com,70,none,30,True,unknown,,
tvguide.com,70,none,31.5,True,unknown,,
gimletmedia.com,70,none,11.7,True,unknown,,
airnav.com,70,none,30.1,True,unknown,,
acc.org,70,none,32.2,True,unknown,,
naver.com,70,none,28.8,True,unknown,,
ed.ac.uk,70,none,29.9,True,unknown,,
umanitoba.ca,70,none,25.7,True,unknown,,
scitechdaily.com,70,none,27.5,True,unknown,,
mediaite.com,70,none,17.8,True,unknown,,
tcf.org,70,none,28.8,True,unknown,,
meforum.org,70,none,26,True,unknown,,
burningman.org,70,none,28.4,True,unknown,,
yootheme.com,70,none,19.6,True,unknown,,
ottawacitizen.com,70,none,30.5,True,unknown,,
houstontx.gov,70,none,22.5,True,unknown,,
debian.org,70,none,27.3,True,unknown,,
real.com,70,none,29.5,True,unknown,,
metacritic.com,70,none,26.9,True,unknown,,
intercontinental.com,70,none,28.9,True,unknown,,
wwe.com,70,none,31.1,True,unknown,,
